time_boot_ms,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
123957.025,0,2,225792400,0,3,31.01,391858384,-768266428,124.68,0.33400002121925354,0,0,0,1
124157.009,0,2,225792600,0,3,30.98,391858581,-768266546,124.44,0.2990000247955322,0,0,0,1
124357.088,0,2,225792800,0,3,30.95,391858775,-768266644,123.72,0.3050000071525574,0,0,0,1
124556.955,0,2,225793000,0,3,30.91,391858377,-768266579,128.31,0.33500000834465027,0,0,0,1
124757.004,0,2,225793200,0,3,30.88,391858087,-768266390,128.39,0.33100003004074097,0,0,0,1
124957.006,0,2,225793400,0,3,30.85,391857859,-768266245,128.45,0.3960000276565552,0,0,0,1
125157.056,0,2,225793600,0,3,30.82,391857704,-768266139,128.52,0.36000001430511475,0,0,0,1
125356.979,0,2,225793800,0,3,30.79,391857592,-768266065,128.57,0.35600000619888306,0,-0.0010000000474974513,0,1
125557.066,0,2,225794000,0,3,30.76,391857523,-768266022,128.62,0.3370000123977661,0,0,0,1
125757.032,0,2,225794200,0,3,30.73,391857475,-768265995,128.66,0.4480000138282776,158.3470916748047,0.0010000000474974513,0,1
125957.047,0,2,225794400,0,3,30.7,391857425,-768265963,128.68,0.40700000524520874,146.8662109375,0,0,1
126157.126,0,2,225794600,0,3,30.67,391857355,-768265916,128.66,0.39500001072883606,154.75978088378906,0.0010000000474974513,0,1
126357.038,0,2,225794800,0,3,30.64,391857293,-768265880,128.66,0.4090000092983246,150.70179748535156,0,0,1
126557.003,0,2,225795000,0,3,30.6,391857226,-768265835,128.66,0.36900001764297485,155.01695251464844,0.0010000000474974513,0,1
126756.933,0,2,225795200,0,3,30.57,391857152,-768265783,128.65,0.3960000276565552,154.356689453125,0,0,1
126957.01,0,2,225795400,0,3,30.54,391857144,-768265778,128.72,0.3790000081062317,155.61793518066406,0,0,1
127157.055,0,2,225795600,0,3,30.51,391857171,-768265800,128.78,0.41700002551078796,151.40829467773438,0,0,1
127357.015,0,2,225795800,0,3,30.48,391857197,-768265820,128.81,0.398000031709671,153.5596160888672,0,0,1
127557.019,0,2,225796000,0,3,30.45,391857221,-768265838,128.82,0.39400002360343933,153.5596160888672,-0.0010000000474974513,0,1
127757.092,0,2,225796200,0,3,30.42,391857287,-768265884,128.88,0.4230000078678131,155.7692108154297,0,0,1
127957.129,0,2,225796400,0,3,30.39,391857350,-768265925,128.92,0.38600000739097595,155.7692108154297,0,0,1
128157.027,0,2,225796600,0,3,30.36,391857435,-768265985,128.95,0.4410000145435333,158.51573181152344,0,0,1
128356.963,0,2,225796800,0,3,30.33,391857507,-768266030,128.96,0.42500001192092896,157.1782684326172,0.0010000000474974513,0,1
128556.931,0,2,225797000,0,3,30.3,391857603,-768266099,129,0.4690000116825104,155.47731018066406,0,0,1
128757.059,0,2,225797200,0,3,30.27,391857692,-768266158,129.01,0.4930000305175781,155.14349365234375,0,0,1
128957.026,0,2,225797400,0,3,30.24,391857775,-768266210,129.02,0.4620000123977661,155.57440185546875,0,0,1
129157.065,0,2,225797600,0,3,30.21,391857857,-768266265,129.01,0.44600000977516174,154.997802734375,0.0010000000474974513,0,1
129357.072,0,2,225797800,0,3,30.18,391857953,-768266331,129.03,0.45600003004074097,155.52525329589844,0.003000000026077032,0,1
129556.974,0,2,225798000,0,3,30.15,391858034,-768266385,129.02,0.45100003480911255,155.3545379638672,0,0,1
129757.228,0,2,225798200,0,3,30.12,391858118,-768266440,129.03,0.46300002932548523,155.92657470703125,0.0010000000474974513,0,1
129956.963,0,2,225798400,0,3,30.09,391858222,-768266503,129.07,0.40800002217292786,151.30368041992188,0.0020000000949949026,0,1
130156.984,0,2,225798600,0,3,30.06,391858337,-768266581,129.09,0.44700002670288086,154.8666534423828,0,0,1
130357.061,0,2,225798800,0,3,30.04,391858447,-768266650,129.11,0.3890000283718109,154.8666534423828,0,0,1
130557.056,0,2,225799000,0,3,30.01,391858566,-768266727,129.12,0.39400002360343933,154.8666534423828,0,0,1
130757.115,0,2,225799200,0,3,29.98,391858693,-768266810,129.14,0.43700000643730164,151.62269592285156,0,0,1
130957.072,0,2,225799400,0,3,29.95,391858844,-768266911,129.19,0.49400001764297485,154.4341583251953,0,0,1
131157.001,0,2,225799600,0,3,29.92,391858961,-768266985,129.17,0.4440000355243683,153.11492919921875,0,0,1
131356.982,0,2,225799800,0,3,29.89,391859095,-768267077,129.18,0.5160000324249268,159.33995056152344,0,0,1
131556.992,0,2,225800000,0,3,29.86,391859223,-768267163,129.18,0.5080000162124634,152.38136291503906,0.0010000000474974513,0,1
131757.057,0,2,225800200,0,3,29.83,391859342,-768267243,129.17,0.4490000307559967,155.08871459960938,0,0,1
131957.005,0,2,225800400,0,3,29.8,391859441,-768267309,129.14,0.4660000205039978,153.5293731689453,0,0,1
132157.027,0,2,225800600,0,3,29.77,391859532,-768267368,129.12,0.48000001907348633,157.0615692138672,0.0010000000474974513,0,1
132357.084,0,2,225800800,0,3,29.74,391859622,-768267428,129.11,0.5100000500679016,157.96971130371094,0,0,1
132557.013,0,2,225801000,0,3,29.72,391859718,-768267488,129.12,0.5060000419616699,154.11367797851562,0.0020000000949949026,0,1
132757.053,0,2,225801200,0,3,29.69,391859805,-768267549,129.11,0.5080000162124634,158.01950073242188,0,0,1
132956.942,0,2,225801400,0,3,29.66,391859928,-768267634,129.16,0.5550000071525574,155.1339569091797,0.0010000000474974513,0,1
133156.962,0,2,225801600,0,3,29.63,391860052,-768267714,129.2,0.4740000367164612,154.4985809326172,0,0,1
133357.138,0,2,225801800,0,3,29.6,391860173,-768267799,129.2,0.5120000243186951,155.57936096191406,0,0,1
133557.001,0,2,225802000,0,3,29.57,391860293,-768267875,129.21,0.4830000102519989,154.4783172607422,0,0,1
133757.078,0,2,225802200,0,3,29.54,391860427,-768267964,129.24,0.5060000419616699,154.60179138183594,0,0,1
133957.173,0,2,225802400,0,3,29.52,391860575,-768268060,129.27,0.5010000467300415,151.9569549560547,0,0,1
134157.081,0,2,225802600,0,3,29.49,391860716,-768268152,129.28,0.5760000348091125,152.1913604736328,0,0,1
134357.021,0,2,225802800,0,3,29.46,391860862,-768268249,129.29,0.5490000247955322,153.41796875,0,0,1
134556.937,0,2,225803000,0,3,29.43,391861019,-768268352,129.32,0.5980000495910645,151.61766052246094,0.0010000000474974513,0,1
134756.988,0,2,225803200,0,3,29.4,391861173,-768268459,129.33,0.5870000123977661,155.57223510742188,0,0,1
134957.037,0,2,225803400,0,3,29.38,391861353,-768268579,129.38,0.5820000171661377,153.34780883789062,0.0010000000474974513,0,1
135157.08,0,2,225803600,0,3,29.35,391861538,-768268703,129.41,0.6630000472068787,154.0079803466797,0,0,1
135357.059,0,2,225803800,0,3,29.32,391861733,-768268834,129.46,0.6700000166893005,154.603759765625,0,0,1
135556.978,0,2,225804000,0,3,29.29,391861904,-768268946,129.44,0.687000036239624,152.34934997558594,-0.0010000000474974513,0,1
135757.027,0,2,225804200,0,3,29.26,391862079,-768269063,129.43,0.7130000591278076,153.26528930664062,0,0,1
