time_boot_ms,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
130016.257,2,0,0,0,0,0,0.006348964758217335,0,0,0,50,65671,512,2
130056.279,2,0,0,0,0,0,0.006378856487572193,0,0,0,50,65671,512,2
130096.201,2,0,0,0,0,0,0.0064183929935097694,0,0,0,50,65671,512,2
130136.229,2,0,0,0,0,0,0.006369361653923988,0,0,0,50,65671,512,2
130176.215,2,0,0,0,0,0,0.006398731842637062,0,0,0,50,65671,512,2
130216.255,2,0,0,0,0,0,0.0063489447347819805,0,0,0,50,65671,512,2
130256.231,2,0,0,0,0,0,0.006378923077136278,0,0,0,50,65671,512,2
130296.259,2,0,0,0.02,0,0,0.006418108940124512,0,0,0,50,65671,512,2
130336.212,2,0,0,0.02,0,0,0.0063687884248793125,0,0,0,50,65671,512,2
130376.229,2,0,0,0.02,0,0,0.006398205179721117,0,0,0,50,65671,512,2
130416.266,2,0,0,0,0,0,0.0063488297164440155,0,0,0,50,65671,512,2
130456.244,2,0,0,0,0,0,0.006378459744155407,0,0,0,50,65671,512,2
130496.258,2,0,0,0.01,0,0,0.0064180344343185425,0,0,0,50,65671,512,2
130536.222,2,0,0,0.01,0,0,0.006368671543896198,0,0,0,50,65671,512,2
130576.22,2,0,0,0.01,0,0,0.006397792603820562,0,0,0,50,65671,512,2
130616.227,2,0,0,0,0,0,0.00634825648739934,0,0,0,50,65671,512,2
130656.256,2,0,0,0,0,0,0.0063783349469304085,0,0,0,50,65671,512,2
130696.282,2,0,0,0.02,0,0,0.006417970638722181,0,0,0,50,65671,512,2
130736.264,2,0,0,0.02,0,0,0.006368552800267935,0,0,0,50,65671,512,2
130776.204,2,0,0,0.02,0,0,0.006397773511707783,0,0,0,50,65671,512,2
130816.229,2,0,0,0,0,0,0.006348492112010717,0,0,0,50,65671,512,2
130856.23,2,0,0,0,0,0,0.006378259044140577,0,0,0,50,65671,512,2
130896.255,2,0,0,0.01,0,0,0.0064176106825470924,0,0,0,50,65671,512,2
130936.279,2,0,0,0.01,0,0,0.006367952562868595,0,0,0,50,65671,512,2
130976.264,2,0,0,0.01,0,0,0.006398002151399851,0,0,0,50,65671,512,2
131016.199,2,0,0,0.04,0,0,0.006348713766783476,0,0,0,50,65671,512,2
131056.25,2,0,0,0.04,0,0,0.00637817895039916,0,0,0,50,65671,512,2
131096.21,2,0,0,0.03,0,0,0.006417698692530394,0,0,0,50,65671,512,2
131136.279,2,0,0,0.03,0,0,0.006368003785610199,0,0,0,50,65671,512,2
131176.274,2,0,0,0.03,0,0,0.006397903896868229,0,0,0,50,65671,512,2
131216.239,2,0,0,0.02,0,0,0.006348281633108854,0,0,0,50,65671,512,2
131256.206,2,0,0,0.02,0,0,0.006377398502081633,0,0,0,50,65671,512,2
131296.229,2,0,0,0.03,0,0,0.006417055148631334,0,0,0,50,65671,512,2
131336.278,2,0,0,0.03,0,0,0.0063676307909190655,0,0,0,50,65671,512,2
131376.278,2,0,0,0.03,0,0,0.00639719283208251,0,0,0,50,65671,512,2
131416.299,2,0,0,0,0,0,0.006348199211061001,0,0,0,50,65671,512,2
131456.223,2,0,0,0,0,0,0.006377282552421093,0,0,0,50,65671,512,2
131496.239,2,0,0,0.02,0,0,0.006416596472263336,0,0,0,50,65671,512,2
131536.233,2,0,0,0.02,0,0,0.006367411930114031,0,0,0,50,65671,512,2
131576.269,2,0,0,0.02,0,0,0.006396968849003315,0,0,0,50,65671,512,2
131616.274,2,0,0,0,0,0,0.006347367540001869,0,0,0,50,65671,512,2
131656.25,2,0,0,0,0,0,0.006376744247972965,0,0,0,50,65671,512,2
131696.202,2,0,0,0,0,0,0.00641641765832901,0,0,0,50,65671,512,2
131736.233,2,0,0,0,0,0,0.006366994231939316,0,0,0,50,65671,512,2
131776.234,2,0,0,0,0,0,0.006396540440618992,0,0,0,50,65671,512,2
131816.262,2,0,0,0.01,0,0,0.0063468581065535545,0,0,0,50,65671,512,2
131856.294,2,0,0,0.01,0,0,0.006376596167683601,0,0,0,50,65671,512,2
131896.247,2,0,0,0,0,0,0.006415659096091986,0,0,0,50,65671,512,2
131936.205,2,0,0,0,0,0,0.0063664596527814865,0,0,0,50,65671,512,2
131976.255,2,0,0,0,0,0,0.0063956319354474545,0,0,0,50,65671,512,2
132016.235,2,0,0,0.01,0,0,0.006346315145492554,0,0,0,50,65671,512,2
