time_boot_ms,C,Q1,Q2,Q3,Q4
92696.203,1,0.9999843835830688,-0.0011044373968616128,0.005471289623528719,-0.00013896709424443543
92736.23,1,0.9999845027923584,-0.0010941547807306051,0.005461891647428274,-0.0001317912683589384
92776.228,1,0.9999845623970032,-0.0010919716442003846,0.005450229160487652,-0.0001249777851626277
92816.267,1,0.999984622001648,-0.0010923650115728378,0.005435245111584663,-0.00011852090392494574
92856.288,1,0.9999846816062927,-0.0011023629922419786,0.005426505580544472,-0.00010153609036933631
92896.257,1,0.9999847412109375,-0.0011006296845152974,0.005407807882875204,-8.878863445715979e-05
92936.24,1,0.9999848008155823,-0.0011115617817267776,0.0054042949341237545,-6.367728929035366e-05
92976.226,1,0.999984622001648,-0.001145987189374864,0.005420658737421036,-6.405347812687978e-05
93016.208,1,0.9999847412109375,-0.0011341124773025513,0.005408735945820808,-5.577656702371314e-05
93056.255,1,0.9999847412109375,-0.0011554316151887178,0.005402476526796818,-4.81497663713526e-05
93096.254,1,0.9999848008155823,-0.0011682339245453477,0.0053848642855882645,-5.050804975326173e-05
93136.241,1,0.999984860420227,-0.00117989641148597,0.00537802092730999,-3.719553933478892e-05
93176.205,1,0.999984860420227,-0.0011942251585423946,0.005373034160584211,-3.415972241782583e-05
93216.239,1,0.999984860420227,-0.0011998078553006053,0.005371653940528631,-1.8742994143394753e-05
93256.275,1,0.9999849796295166,-0.0011934494832530618,0.005353758577257395,-4.121117399336072e-06
93296.231,1,0.9999849200248718,-0.001201178296469152,0.005358286667615175,7.682616342208348e-06
93336.28,1,0.9999849200248718,-0.0012063016183674335,0.0053599136881530285,2.850414830390946e-06
93376.247,1,0.9999849200248718,-0.0012112061958760023,0.005355586297810078,4.841114787268452e-06
93416.216,1,0.9999849796295166,-0.0012121321633458138,0.005347493104636669,1.1111877938674297e-05
93456.227,1,0.9999849200248718,-0.001213172567076981,0.0053608049638569355,1.6546955521334894e-05
93496.272,1,0.9999849796295166,-0.001200629398226738,0.005346488673239946,1.0093941455124877e-05
93536.28,1,0.9999850392341614,-0.0012060445733368397,0.005330802407115698,1.675952080404386e-05
93576.273,1,0.9999849796295166,-0.0012205933453515172,0.0053487541154026985,2.0570056221913546e-05
93616.201,1,0.9999849796295166,-0.0012310605961829424,0.005339521914720535,3.1005598430056125e-05
93656.236,1,0.9999849796295166,-0.0012334707425907254,0.005339365452528,3.3213000278919935e-05
93696.225,1,0.9999849200248718,-0.001232912647537887,0.005348323844373226,5.501718260347843e-05
93736.266,1,0.9999850392341614,-0.0012344710994511843,0.005328028462827206,5.6928554840851575e-05
93776.267,1,0.9999850392341614,-0.0012581974733620882,0.00532359117642045,5.777027763542719e-05
93816.262,1,0.9999850988388062,-0.0012399732368066907,0.005316336173564196,5.9488575061550364e-05
93856.2,1,0.9999851584434509,-0.0012147212401032448,0.005315086338669062,3.762080814340152e-05
93896.225,1,0.9999849200248718,-0.0012033885577693582,0.0053542903624475,3.388452387298457e-05
93936.233,1,0.9999849200248718,-0.0012002462754026055,0.005359828006476164,3.3402600820409134e-05
93976.255,1,0.999984860420227,-0.0012092151446267962,0.005364676471799612,3.026534614036791e-05
94016.269,1,0.9999848008155823,-0.001209030277095735,0.005374976899474859,3.0922812584321946e-05
94056.228,1,0.9999848008155823,-0.0012168041430413723,0.005373771768063307,2.9147649911465123e-05
94096.202,1,0.9999847412109375,-0.0012262430973351002,0.005389819387346506,5.4253490816336125e-05
94136.23,1,0.9999848008155823,-0.0012395157245919108,0.005368383135646582,4.093262032256462e-05
94176.263,1,0.999984860420227,-0.0012532571563497186,0.005360078066587448,4.212241037748754e-05
94216.258,1,0.999984860420227,-0.001242416212335229,0.0053596943616867065,4.7232522774720564e-05
